Name,Geschwindigkeit,Ballkontrolle,Lieblingssport
Anja,3.8,7.7,Tennis
Boris,4.1,7.8,Tennis
Carina,4.2,7.9,Tennis
Dennis,4.0,7.6,Tennis
Eva,5.0,6.8,Basketball
Florian,5.1,7.0,Basketball
Günther,5.3,6.9,Basketball
Heike,4.9,7.2,Basketball
Ingolf,5.2,6.7,Basketball
Jutta,5.0,7.1,Basketball
Kevin,4.8,6.8,Basketball
Leonie,5.1,7.0,Basketball
Markus,5.0,6.9,Basketball
Nadja,4.9,7.1,Basketball
Oskar,6.1,5.9,Fußball
Patricia,5.8,6.0,Fußball
Quirin,6.0,6.2,Fußball
Rebecca,5.9,5.8,Fußball
Sven,6.2,6.1,Fußball
Theresa,5.7,5.9,Fußball
Uwe,6.0,6.0,Fußball
Verena,5.9,6.2,Fußball
Walter,6.1,5.8,Fußball
Xenia,5.8,6.1,Fußball
Yannick,4.0,7.8,Tennis
Zara,4.2,7.9,Tennis
Albert,4.1,7.7,Tennis
Beate,3.9,7.6,Tennis
Christian,4.0,7.8,Tennis
Dorothea,4.3,7.9,Tennis
Erwin,4.0,7.7,Tennis
Fiona,4.2,7.8,Tennis
Gustav,4.1,7.9,Tennis
Hanna,3.9,7.6,Tennis
Alex,5.2,6.8,Basketball
Bianca,5.5,7.1,Basketball
Carlo,4.9,6.5,Basketball
Diana,5.6,7.0,Basketball
Erik,5.0,6.9,Basketball
Fiona,5.3,6.7,Basketball
Gerd,5.1,6.6,Basketball
Helena,4.8,7.2,Basketball
Igor,5.4,6.8,Basketball
Jana,5.2,7.0,Basketball
Kevin,5.6,6.5,Fußball
Lara,5.9,6.1,Fußball
Mark,5.3,6.4,Fußball
Nina,6.0,6.0,Fußball
Oskar,5.7,6.3,Fußball
Paula,6.1,5.9,Fußball
Quentin,5.5,6.2,Fußball
Rosa,6.2,6.0,Fußball
Simon,5.8,5.8,Fußball
Tina,5.4,6.1,Fußball
Ulf,4.5,7.5,Tennis
Vera,4.8,7.2,Tennis
Wolfgang,5.0,7.8,Tennis
Xenia,4.9,7.0,Tennis
Yannick,4.7,7.6,Tennis
Zoe,4.6,7.1,Tennis
Amir,5.1,6.9,Tennis
Britta,4.8,7.4,Tennis
Cedric,4.9,7.2,Tennis
Doris,4.7,6.8,Tennis
Elena,5.3,7.0,Basketball
Florian,5.1,6.6,Basketball
Gustav,5.5,6.8,Basketball
Helene,5.0,7.2,Basketball
Ian,4.9,6.7,Basketball
Jana,5.2,7.1,Basketball
Klaus,5.1,6.9,Basketball
Leonie,5.3,6.5,Basketball
Moritz,5.4,7.0,Basketball
Nina,5.0,6.8,Basketball
Oskar,5.7,6.2,Fußball
Patricia,6.0,5.9,Fußball
Quirin,5.8,6.1,Fußball
Rebecca,5.5,6.0,Fußball
Stefan,6.1,6.3,Fußball
Theresa,5.9,5.8,Fußball
Uwe,5.2,6.1,Fußball
Valerie,5.6,6.0,Fußball
Willi,5.3,6.2,Fußball
Xaver,5.7,5.9,Fußball
Yara,4.8,7.6,Tennis
Zeno,4.9,7.0,Tennis
